part_id	name
3717	BBa_S01830
3689	BBa_S01816
3693	BBa_S01818
3695	BBa_S01819
3735	BBa_S01839
3737	BBa_S01840
3739	BBa_S01841
3741	BBa_S01842
3743	BBa_S01843
3747	BBa_S01845
3759	BBa_S01851
4909	BBa_I12021
3763	BBa_E0600
3764	BBa_E0601
3766	BBa_E0603
3767	BBa_E0604
3768	BBa_E0605
3863	BBa_S01898
3867	BBa_S01900
4093	BBa_S01930
3871	BBa_S01902
4097	BBa_S01932
4095	BBa_S01931
3877	BBa_S01905
3857	BBa_S01895
3859	BBa_S01896
3845	BBa_S01889
3847	BBa_S01890
3849	BBa_S01891
3851	BBa_S01892
3853	BBa_S01893
3855	BBa_S01894
3881	BBa_S01907
2929	BBa_S01444
3882	BBa_R0071
3884	BBa_C2000
3885	BBa_T4001
3893	BBa_C0071
3892	BBa_C0070
3894	BBa_I8100
3895	BBa_I8000
3896	BBa_I8001
3897	BBa_I8020
3898	BBa_I8021
3987	BBa_I1100
3989	BBa_I3200
3900	BBa_C0082
3901	BBa_C0083
3906	BBa_C0079
3908	BBa_C0077
3907	BBa_C0076
3909	BBa_R0077
3911	BBa_E0033
3910	BBa_R0082
3913	BBa_R0083
3916	BBa_R1075
3917	BBa_R1074
3918	BBa_C0081
3920	BBa_C0078
3921	BBa_C0080
3915	BBa_R0084
3922	BBa_Q04811
3923	BBa_R0080
3924	BBa_Q04800
3925	BBa_Q04120
3926	BBa_I2010
3927	BBa_I2011
3914	BBa_C0013
3929	BBa_I2022
3930	BBa_I2012
3931	BBa_I2021
3932	BBa_I2023
3933	BBa_C0073
3935	BBa_C0075
3936	BBa_R0073
3938	BBa_R0075
3940	BBa_I9200
3941	BBa_I9201
3939	BBa_I9001
3942	BBa_I9002
3943	BBa_I9003
3944	BBa_I9004
3945	BBa_I9005
3946	BBa_I9006
3947	BBa_I9008
3948	BBa_I9009
3949	BBa_I9020
3950	BBa_I9022
3951	BBa_I9023
3952	BBa_I9024
3953	BBa_I9026
3954	BBa_I9027
3955	BBa_I9028
3956	BBa_I9030
3957	BBa_I9031
3958	BBa_I9101
3959	BBa_I9102
48176	BBa_K2832181
3960	BBa_I9103
3961	BBa_I9104
3962	BBa_I9106
3963	BBa_I9107
3964	BBa_I9108
3965	BBa_I9109
3934	BBa_C0074
3966	BBa_I9110
3967	BBa_I9111
3968	BBa_I9112
3969	BBa_I9113
3971	BBa_I9120
3972	BBa_I9124
3973	BBa_I9128
3970	BBa_I2024
3975	BBa_I9045
3974	BBa_I2025
3976	BBa_I2026
3978	BBa_B0035
3980	BBa_R0061
3981	BBa_I2020
3982	BBa_I2027
3983	BBa_I2028
3984	BBa_I2029
4024	BBa_I3302
4025	BBa_I3400
4026	BBa_I3401
4027	BBa_I3410
4029	BBa_C0072
4049	BBa_S01929
4050	BBa_I3312
4008	BBa_I3300
4023	BBa_I3301
4030	BBa_I3411
4082	BBa_B0062
4083	BBa_B0063
4086	BBa_R0081
4031	BBa_I3500
4032	BBa_I3510
4033	BBa_I3110
4043	BBa_S01926
4045	BBa_S01927
4047	BBa_S01928
4035	BBa_I3310
4034	BBa_I3210
4036	BBa_I3311
4037	BBa_I1101
4039	BBa_S01924
